#ID,HashTagKey,Query
1,etsymntt,candles
2,beer,candles
3,Gifts4Dad,candles
4,toosoonforthewinterblues,candles
5,candles,candles
6,gold,candles
7,ikat,candles
8,Soy,candles
9,candles,candles
10,Soy,candles
11,candles,candles
12,HappyPlace,candles
13,etsymntt,candles
14,beer,candles
15,Gifts4Dad,candles
16,homedecor,candles
17,CLEARANCE,candles
18,SALE,candles
19,Jewelry,candles
20,Buddhas,candles
21,Clothing,candles
22,candles,candles
23,Ornaments,candles
24,OiH,candles
25,followmekiki,candles
26,SALE,candles
27,home,candles
28,candles,candles
29,Soy,candles
30,madeinusa,candles
31,giftsforher,candles
32,Toronto,candles
33,candles,candles
34,bizhype,candles
35,candle,candles
36,lowentries,candles
37,giveaway,candles
38,Holidaygift,candles
39,aromatherapy,candles
40,ParksAndRec,candles
41,Smellavision,candles
42,ferguson2tdot,candles
43,ferguson2TO,candles
44,OldFactory,candles
45,sweepstakes,candles
46,yeg,candles
47,ferguson,candles
48,diy,candles
49,tutorial,candles
50,crafts,candles
51,ferguson2tdot,candles
52,ferguson2TO,candles
53,iphone,candles
54,iphonegames,candles
55,gameinsight,candles
56,yeg,candles
57,fergurson,candles
58,etsymntt,candles
59,beer,candles
60,Gifts4Dad,candles
61,toosoonforthewinterblues,candles
62,candles,candles
63,gold,candles
64,ikat,candles
65,Soy,candles
66,candles,candles
67,Soy,candles
68,candles,candles
69,HappyPlace,candles
70,etsymntt,candles
71,beer,candles
72,Gifts4Dad,candles
73,homedecor,candles
74,CLEARANCE,candles
75,SALE,candles
76,Jewelry,candles
77,Buddhas,candles
78,Clothing,candles
79,candles,candles
80,Ornaments,candles
81,OiH,candles
82,followmekiki,candles
83,SALE,candles
84,home,candles
85,candles,candles
86,Soy,candles
87,madeinusa,candles
88,giftsforher,candles
89,Toronto,candles
90,candles,candles
91,bizhype,candles
92,candle,candles
93,lowentries,candles
94,giveaway,candles
95,Holidaygift,candles
96,aromatherapy,candles
97,ParksAndRec,candles
98,Smellavision,candles
99,ferguson2tdot,candles
100,ferguson2TO,candles
101,OldFactory,candles
102,sweepstakes,candles
103,yeg,candles
104,ferguson,candles
105,diy,candles
106,tutorial,candles
107,crafts,candles
108,ferguson2tdot,candles
109,ferguson2TO,candles
110,iphone,candles
111,iphonegames,candles
112,gameinsight,candles
113,yeg,candles
114,fergurson,candles
115,etsymntt,candles
116,beer,candles
117,Gifts4Dad,candles
118,etsymntt,candles
119,beer,candles
120,Gifts4Dad,candles
121,toosoonforthewinterblues,candles
122,candles,candles
123,gold,candles
124,ikat,candles
125,Soy,candles
126,candles,candles
127,Soy,candles
128,candles,candles
129,HappyPlace,candles
130,etsymntt,candles
131,beer,candles
132,Gifts4Dad,candles
133,homedecor,candles
134,CLEARANCE,candles
135,SALE,candles
136,Jewelry,candles
137,Buddhas,candles
138,Clothing,candles
139,candles,candles
140,Ornaments,candles
141,OiH,candles
142,followmekiki,candles
143,SALE,candles
144,home,candles
145,candles,candles
146,Soy,candles
147,madeinusa,candles
148,giftsforher,candles
149,Toronto,candles
150,candles,candles
151,bizhype,candles
152,candle,candles
153,lowentries,candles
154,giveaway,candles
155,Holidaygift,candles
156,aromatherapy,candles
157,ParksAndRec,candles
158,Smellavision,candles
159,ferguson2tdot,candles
160,ferguson2TO,candles
161,OldFactory,candles
162,sweepstakes,candles
163,yeg,candles
164,ferguson,candles
165,diy,candles
166,tutorial,candles
167,crafts,candles
168,ferguson2tdot,candles
169,ferguson2TO,candles
170,iphone,candles
171,iphonegames,candles
172,gameinsight,candles
173,yeg,candles
174,fergurson,candles
175,etsymntt,candles
176,beer,candles
177,Gifts4Dad,candles
178,etsymntt,candles
179,beer,candles
180,Gifts4Dad,candles
181,toosoonforthewinterblues,candles
182,candles,candles
183,gold,candles
184,ikat,candles
185,Soy,candles
186,candles,candles
187,Soy,candles
188,candles,candles
189,HappyPlace,candles
190,etsymntt,candles
191,beer,candles
192,Gifts4Dad,candles
193,homedecor,candles
194,CLEARANCE,candles
195,SALE,candles
196,Jewelry,candles
197,Buddhas,candles
198,Clothing,candles
199,candles,candles
200,Ornaments,candles
201,OiH,candles
202,followmekiki,candles
203,SALE,candles
204,home,candles
205,candles,candles
206,Soy,candles
207,madeinusa,candles
208,giftsforher,candles
209,Toronto,candles
210,candles,candles
211,bizhype,candles
212,candle,candles
213,lowentries,candles
214,giveaway,candles
215,Holidaygift,candles
216,aromatherapy,candles
217,ParksAndRec,candles
218,Smellavision,candles
219,ferguson2tdot,candles
220,ferguson2TO,candles
221,OldFactory,candles
222,sweepstakes,candles
223,yeg,candles
224,ferguson,candles
225,diy,candles
226,tutorial,candles
227,crafts,candles
228,ferguson2tdot,candles
229,ferguson2TO,candles
230,iphone,candles
231,iphonegames,candles
232,gameinsight,candles
233,yeg,candles
234,fergurson,candles
235,etsymntt,candles
236,beer,candles
237,Gifts4Dad,candles
238,etsymntt,candles
239,beer,candles
240,Gifts4Dad,candles
241,toosoonforthewinterblues,candles
242,candles,candles
243,gold,candles
244,ikat,candles
245,Soy,candles
246,candles,candles
247,Soy,candles
248,candles,candles
249,HappyPlace,candles
250,etsymntt,candles
251,beer,candles
252,Gifts4Dad,candles
253,homedecor,candles
254,CLEARANCE,candles
255,SALE,candles
256,Jewelry,candles
257,Buddhas,candles
258,Clothing,candles
259,candles,candles
260,Ornaments,candles
261,OiH,candles
262,followmekiki,candles
263,SALE,candles
264,home,candles
265,candles,candles
266,Soy,candles
267,madeinusa,candles
268,giftsforher,candles
269,Toronto,candles
270,candles,candles
271,bizhype,candles
272,candle,candles
273,lowentries,candles
274,giveaway,candles
275,Holidaygift,candles
276,aromatherapy,candles
277,ParksAndRec,candles
278,Smellavision,candles
279,ferguson2tdot,candles
280,ferguson2TO,candles
281,OldFactory,candles
282,sweepstakes,candles
283,yeg,candles
284,ferguson,candles
285,diy,candles
286,tutorial,candles
287,crafts,candles
288,ferguson2tdot,candles
289,ferguson2TO,candles
290,iphone,candles
291,iphonegames,candles
292,gameinsight,candles
293,yeg,candles
294,fergurson,candles
295,etsymntt,candles
296,beer,candles
297,Gifts4Dad,candles
298,etsymntt,candles
299,beer,candles
