#ID,Tweet,RetweetCount,CreatedDate,Query,HourOfDay,Sentiment,Date
1,I swear this candle is haunted #WideWorld,2,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
2,I'm obsessed with Wide World Importers candles :),0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
3,Masquerading through Wide World Importers…,1,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
5,"Wide World, I'm in love with cocktail glasses!",0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
6,Bummer… I can't believe my cocktail glass broke and ruined my dress :(,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
7,I want candles that smell like men!,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
8,excited about my delivery from Wide World Importers!,1,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
9,My mom is spending too much money at Wide World!,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
10,Learned the hard way that my new cocktail glasses are sort of delicate. Where did I put my bandaids... :(,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
11,RT @RakwonOGOD: Drake makes music for saf who light candles for everytime they have asdf,3375,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
12,RT @shelbycarter98: Bath and Body Works candles are the key to my heart,1,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
13,*buys candles that smell like men becuz sdf ??????,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
14,Power out. Candles. Assemble a baby drum kit. Listen to the rain. #HappyPlace,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
15,Yankee candles on @qvcuk and its payday !,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
16,Shan just deleted the video of me blowing out my candles and I'm well gutted,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
17,Our Beer Bottle Candles make the perfect gift for that hard to buy for dad! http://t.co/89TKmPLPH4 #etsymntt #beer #Gifts4Dad,2,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
18,""" those got damn lights. I have 12 candles in the room, I've been WAITING to burn them motherers""",0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
19,@EricMillegan the name of the Candle place is Soy Candles they have every color expect for black they have one called get your Grinch off,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
20,I have a sick addiction to candles and incenses,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
21,"But on the bright side, nothin better than a clean house that smells amazingly great with burnin fall candles ??????",0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
22,Bath and Body Works candles are the key to my heart,1,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
23,obsessed with candles,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
24,thinking about harry's vanilla scented candles,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
25,RT @RakwonOGOD: Drake makes music for niggas who light candles for everytime they have sex,3375,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
26,"I really love these old lanterns, they look so beautiful with candles burning inside. #homedecor… http://t.co/aRLLgOu5cq",0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
27,We are wrapping up our #CLEARANCE #SALE this week! Hurry! #Jewelry #Buddhas #Clothing #Candles #Ornaments #OiH,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
28,#followmekiki dear eyelashes 11:11 shooting star wishbones and birthday candles and pennies please work,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
29,I love Yankee candles,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
30,Amazon Gift Card – Email – Happy Birthday (Candles): Amazon Gift Card – Email – Happy Birthday (Candles) by A... http://t.co/xXGejjj9yD,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
31,MAKES ME WANNA BLOW THE CANDLES OUT JUST TO SEE IF YOU GLOW IN THE DARK The Hellcat Spangled Shalalala,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
34,"RT @dhostler1985: @AprilHunter I got the candles in the mail....BEAUTIFUL!!!! Thank you so much!! These are prime quality, will buy from yo…",1,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
35,RT @luzinildaaraujo: “@wmag: The perfect 10 candles to give (or receive) this holiday season: http://t.co/pSEv0AH0OB http://t.co/vIraZeCCyG”,1,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
36,50% off Basmati Rice Soy Candle ends Tue. 12/2 at 7:46 pm EST #sale #home #candles #soy #madeinusa #giftsforher http://t.co/OuMZCQuSB3,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
37,For animated GIFs http://t.co/gWzxRZXiKy vía @po_st,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
38,Putting candles on Mcallister and sobrante by la Sierra for Jesus,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
39,"Happy Birthday to my vainmates , chikamates ,hope that di ka mausab nya stay what you are , more candles to... http://t.co/vnsGf8zCGl",0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
40,Scented candles and chill music ??,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
41,although I did go into Yankee candle and I think I smelt one too many candles my head is I'm ah,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
42,I need some more candles for my house,1,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
43,RT @madisonshowalta: candles &amp; fuzzy socks make me happy,23,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
44,@BurrowDesigns Thank you! I love our high quality candles and tarts! The scents are amazing. The jewelry surprise is a fun bonus! :),0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
46,“@caitlinbaum: I love candles” SAME,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
47,"Today is my birthday, so when I blew out the candles..I wished that I could find a way to be a better man",0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
48,these candles smell delicious ??,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
50,"RT @ecstvcy: I love relaxing in a nice clean room, with candles and calming music",1,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
51,I love candles,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
52,I BURN WITH THE FIRE OF A HUNDRED BIRTHDAY CANDLES,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
53,I love holiday scented candles,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
54,Looking for some candles for your thanksgiving table? We've got them--come on in--pick them up when you are purchasing your centerpiece!,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
55,RT @RakwonOGOD: Drake makes music for niggas who light candles for everytime they have sex,3375,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
56,Bouta charge my phone and then take a nice bubble bath with candles and some good music,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
57,"RT @amandapalmer: short video from within the ferguson rally in toronto. thousand of people here. peace, rage, candles http://t.co/eYJFokJc…",16,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
58,“@Russ_Courtney: Candles being handed out in the crowd https://t.co/kw0WW9Lnwn”-example of peaceful protest #Toronto,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
59,"we didn't have any ""2"" candles so you get two sets of 11! happy 22nd birthday broski @mdashbrook http://t.co/vsw32Ez2Uz",0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
60,RT @Biz_Hype: Your #candles promoted 7 days a week for £10 - http://t.co/j5yREh3Xrg #bizhype #candle,1,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
61,@firdauschris blow candles and cut the ??,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
62,RT @_cottonjen: someone buy me all the candles in the world,1,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
63,"RT @SlysamBlog: Three Giveaways: scented candles, eczema skin care and Matcha green tea. http://t.co/QYjRduznUo #lowentries #giveaway",4,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
64,"she's a bubble bath with candles, baby come &amp; kiss me",0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
65,someone buy me all the candles in the world,1,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
66,"I love relaxing in a nice clean room, with candles and calming music",1,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
67,: Candle Impressions Set of 8 Patented Faux Wick Cream Wax Battery Operated Flameless Pillar Candles with Auto… http://t.co/h21T9ijZks,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
68,Save 30% off two candles or more this Black Friday while supplies last! Which Eubanks &amp; Co. candle aromas are you… http://t.co/X4v3QB5UwF,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
69,Hey! @BeautynBumpNYC is giving away a set of Old Factory Scented Soy Wax Candles! #Holidaygift #aromatherapy http://t.co/d4zvXCt25y,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
70,I would love to have great furniture mostly dark or natural colors with candles that smell great and most def nude paint for my walls,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
72,"Candles, bubbles, booze...I suppose I can make due with this http://t.co/36pUz3PVeZ",0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
73,"Why am I laughing so hard that Andy on #ParksAndRec wrote ""5000 Candles in the Wind"" cuz it's 5000x better than the original song?",0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
74,@emily_da_munkey @CuteDecorations if those are real candles on the floor that's anxiety,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
75,i swear my mom thinks candles are a gateway drug,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
76,“@nicolesilva__: I wanna go buy a bunch of good-smelling fall candles to put around the house ??????”@sieracullins,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
77,"@Emeril You should market a line of candles called ""#Smellavision."" Start with your cranberry compote.My house smell fantastic right now!",0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
78,don't need candles or cake just need ya body to make birthdaaaag sexxx,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
79,Lightnin Ls like candles,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
80,"As the ""paladin"" her job is to be naked in a circle of candles with stuff painted on her, Oh Okay",0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
81,"RT @MichaelFil: Organizers handing out gloves, water, candles, and signs to those in the crowd. #ferguson2tdot #ferguson2TO",2,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
82,“@CuteDecorations: Boyfriend goals! ?????? http://t.co/Evgd3L3kOy” blow out the candles as you walk by???? @Shay_Babe0,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
84,Enter to Win: Set of 3 #OldFactory Soy Candles #sweepstakes http://t.co/CX1r1p5rgI,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
85,Candles and ms badu tonight ?? night,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
86,"RT @GlobalEdmonton: MT @Eric_Szeto: Candles lit at Churchill square as dozens rally, demanding justice for Michael Brown. #yeg #ferguson ht…",10,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
87,I like candles??,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
88,RT @CathySavels: How to make scented candles in a teacup ? Tutorial http://t.co/T2HrQlWg5Y #diy #tutorial #crafts,1,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
89,Candles are so romantic.,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
90,I need more Christmas candles,1,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
91,RT @marthaaaaaaaa_: I love candles,1,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
92,one of the nicest candles i own ?? http://t.co/95uVOvCHAk,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
93,"Astroturf protest ;) ""@MichaelFil: Organizers handing out gloves, water, candles, and signs to those in the... #ferguson2tdot #ferguson2TO""",0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
94,@little__candles ???…//,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
95,"I have Festive Candles on my island! Now my island is even more awesome! http://t.co/UFFibAURKc #iphone, #iphonegames, #gameinsight",0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
96,"RT @Eric_Szeto: Candles being lit at Churchill square. Dozens show up for rally, demanding justice for Michael Brown #yeg #fergurson http:/…",2,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
97,Super Realistic Food-shaped Candles Are Gourmet Treats for the Deceased http://t.co/H6nb3rTwDX http://t.co/KKgvs7ezTx,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
98,"RT @amandapalmer: short video from within the ferguson rally in toronto. thousand of people here. peace, rage, candles http://t.co/eYJFokJc…",16,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
99,"@Corelliz fancy soap (eg http://t.co/mEFhuh4ThK), candles, stationery are usually budget-friendly as long your giftee isn't averse to them.",0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
102,I swear this candle is haunted,0,12/2/2014 0:00,candles,9,Negative,12/2/2015 0:00
103,"Oh, this is fake candle! Its burning out so quickly",0,12/2/2014 0:00,candles,9,Negative,12/2/2015 0:00
104,I can’t believe my cocktail glass broke and ruined my dress,0,12/2/2014 0:00,cocktail glasses,9,Negative,12/2/2015 0:00
105,Learned the hard way that my new cocktail glasses are sort of delicate. Where did I put my bandaids... :(,0,12/2/2014 0:00,cocktail glasses,9,Negative,12/2/2015 0:00
106,"Bought two new cocktail glasses today and immediately broke one of them. Oh well, I only need one I suppose. :(",0,12/2/2014 0:00,cocktail glasses,9,Negative,12/2/2015 0:00
108,"excited about my delivery from Wide World Importers, only to find one of my cocktail glasses is broken :(",0,12/2/2014 0:00,cocktail glasses,9,Negative,12/2/2015 0:00
201,RT @UReflections: Our Beer Bottle Candles make the perfect gift for that hard to buy for dad! http://t.co/89TKmPLPH4 #etsymntt #beer #Gifts…,2,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
1001,RT @AprilHunter: For sale: a fresh batch of double scented vanilla pumpkin pie! Yumtastic! #Soy #candles burn clean… http://t.co/dPJDvJG9…,1,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
2901,Enter to Win a Pumpkin Spice Jar Candle from @OneFurAllPets on @TwoClassyChics Blog http://t.co/cVaoexN6m3 Ends 12/01 #Giveaways #ad,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
2902,Ima go to bath &amp; body to get candles for my room??,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
4301,@rmcbtgl 18 candles then ako ha. :D,0,11/25/2014 0:00,candles,16,Neutral,11/25/2015 0:00
7101,I've been quoting 'The Breakfast Club' and '16 candles' all day... I think I have a problem. #sendhelp,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
7701,"while at #ferguson2TO tonight i was offered juice boxes, candles, water and snacks. people taking care of other is so beautiful. #UNITY",0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
8201,One of my favorite smells- the smoke after you blow out a candle. Especially birthday candles. ???? http://t.co/2FBWa6Wlmr,0,11/25/2014 0:00,candles,16,Positive,11/25/2015 0:00
8701,Slowly becoming a big fan of scented candles idk,0,11/25/2014 0:00,candles,16,Negative,11/25/2015 0:00
8901,"RT @lelaniblack: ??????It's #cocktail - thirty! Splash of coconut #rum, cranberry juice and pineapple juice. Cheers *glasses clink* http://t.c…",6,11/25/2014 0:00,cocktail glasses,16,Neutral,11/25/2015 0:00
8902,@_mxts i HATE GOOD LOOKING GUYS IN FORMAL WEAR HOLDING COCKTAIL GLASSES,0,11/25/2014 0:00,cocktail glasses,16,Neutral,11/25/2015 0:00
8903,"RT @lelaniblack: ??????It's #cocktail - thirty! Splash of coconut #rum, cranberry juice and pineapple juice. Cheers *glasses clink* http://t.c…",6,11/25/2014 0:00,cocktail glasses,16,Neutral,11/25/2015 0:00
8906,Never let your cocktails lose out its chill! Try these Self-Chilling #Cocktail #Glasses http://t.co/R7Psj8Cotx http://t.co/l1adZLbbJ4,2,11/25/2014 0:00,cocktail glasses,16,Negative,11/25/2015 0:00
